,num_MP,pc_diff,day_number
1900-06-13,107,-2.1227006165104476,164
1900-06-14,96,-12.184852889579467,165
1900-06-15,112,2.4510049621572887,166
1900-06-16,108,-1.2079595007769002,167
1900-06-17,88,-19.502781815447847,168
1900-06-18,110,0.6215227306901941,169
1900-06-19,120,9.768933888025666,170
1900-06-20,109,-0.2932183850433531,171
1900-06-21,116,6.109969425091477,172
1900-06-22,119,8.85419277229212,173
1900-06-23,118,7.939451656558571,174
1900-06-24,100,-8.525888426645277,175
1900-06-25,114,4.280487193624383,176
1900-06-26,115,5.19522830935793,177
1900-06-27,113,3.3657460778908357,178
1900-06-28,110,0.6215227306901941,179
1900-06-29,101,-7.611147310911731,180
1900-06-30,110,0.6215227306901941,181
1900-07-01,133,21.66056839256178,182
1900-07-02,121,10.683675003759213,183
1900-07-03,110,0.6215227306901941,184
1900-07-04,106,-3.0374417322439946,185
1900-07-05,122,11.59841611949276,186
1900-07-06,101,-7.611147310911731,187
1900-07-07,141,28.978497318430158,188
1900-07-08,113,3.3657460778908357,189
1900-07-09,106,-3.0374417322439946,190
1900-07-10,110,0.6215227306901941,191
1900-07-11,107,-2.1227006165104476,192
1900-07-12,106,-3.0374417322439946,193
1900-07-13,94,-14.014335121046562,194
1900-07-14,95,-13.099594005313014,195
1900-07-15,134,22.575309508295327,196
1900-07-16,107,-2.1227006165104476,197
1900-07-17,110,0.6215227306901941,198
1900-07-18,106,-3.0374417322439946,199
1900-07-19,87,-20.41752293118139,200
1900-07-20,117,7.0247105408250246,201
1900-07-21,98,-10.355370658112372,202
1900-07-22,117,7.0247105408250246,203
1900-07-23,106,-3.0374417322439946,204
1900-07-24,115,5.19522830935793,205
1900-07-25,90,-17.67329958398075,206
1900-07-26,90,-17.67329958398075,207
1900-07-27,118,7.939451656558571,208
1900-07-28,100,-8.525888426645277,209
1900-07-29,100,-8.525888426645277,210
1900-07-30,96,-12.184852889579467,211
1900-07-31,121,10.683675003759213,212
1900-08-01,128,17.086862813894044,213
1900-08-02,114,4.280487193624383,214
1900-08-03,130,18.916345045361137,215
1900-08-04,105,-3.952182847977542,216
1900-08-05,130,18.916345045361137,217
1900-08-06,105,-3.952182847977542,218
1900-08-07,115,5.19522830935793,219
1900-08-08,119,8.85419277229212,220
1900-08-09,115,5.19522830935793,221
1900-08-10,123,12.513157235226307,222
1900-08-11,102,-6.696406195178184,223
1900-08-12,110,0.6215227306901941,224
1900-08-13,106,-3.0374417322439946,225
1900-08-14,87,-20.41752293118139,226
1900-08-15,125,14.342639466693402,227
1900-08-16,114,4.280487193624383,228
1900-08-17,109,-0.2932183850433531,229
1900-08-18,94,-14.014335121046562,230
1900-08-19,106,-3.0374417322439946,231
1900-08-20,112,2.4510049621572887,232
1900-08-21,106,-3.0374417322439946,233
1900-08-22,110,0.6215227306901941,234
1900-08-23,121,10.683675003759213,235
1900-08-24,93,-14.929076236780109,236
1900-08-25,130,18.916345045361137,237
1900-08-26,100,-8.525888426645277,238
1900-08-27,101,-7.611147310911731,239
1900-08-28,106,-3.0374417322439946,240
1900-08-29,115,5.19522830935793,241
1900-08-30,100,-8.525888426645277,242
1900-08-31,97,-11.27011177384592,243
1900-09-01,145,32.637461781364344,244
1900-09-02,104,-4.8669239637110895,245
1900-09-03,106,-3.0374417322439946,246
1900-09-04,110,0.6215227306901941,247
1900-09-05,100,-8.525888426645277,248
1900-09-06,101,-7.611147310911731,249
1900-09-07,97,-11.27011177384592,250
1900-09-08,103,-5.781665079444637,251
1900-09-09,104,-4.8669239637110895,252
1900-09-10,101,-7.611147310911731,253
1900-09-11,121,10.683675003759213,254
1900-09-12,96,-12.184852889579467,255
1900-09-13,112,2.4510049621572887,256
1900-09-14,96,-12.184852889579467,257
1900-09-15,122,11.59841611949276,258
1900-09-16,116,6.109969425091477,259
1900-09-17,114,4.280487193624383,260
1900-09-18,125,14.342639466693402,261
1900-09-19,111,1.5362638464237415,262
1900-09-20,106,-3.0374417322439946,263
1900-09-21,108,-1.2079595007769002,264
1900-09-22,107,-2.1227006165104476,265
1900-09-23,124,13.427898350959854,266
1900-09-24,124,13.427898350959854,267
1900-09-25,122,11.59841611949276,268
1900-09-26,105,-3.952182847977542,269
1900-09-27,123,12.513157235226307,270
1900-09-28,122,11.59841611949276,271
1900-09-29,106,-3.0374417322439946,272
1900-09-30,106,-3.0374417322439946,273
1900-10-01,149,36.29642624429854,274
1900-10-02,82,-24.99122850984913,275
1900-10-03,96,-12.184852889579467,276
1900-10-04,122,11.59841611949276,277
1900-10-05,98,-10.355370658112372,278
1900-10-06,90,-17.67329958398075,279
1900-10-07,99,-9.440629542378826,280
1900-10-08,97,-11.27011177384592,281
1900-10-09,95,-13.099594005313014,282
1900-10-10,135,23.490050624028875,283
1900-10-11,79,-27.73545185704977,284
1900-10-12,116,6.109969425091477,285
1900-10-13,102,-6.696406195178184,286
1900-10-14,114,4.280487193624383,287
1900-10-15,133,21.66056839256178,288
1900-10-16,100,-8.525888426645277,289
1900-10-17,114,4.280487193624383,290
1900-10-18,117,7.0247105408250246,291
1900-10-19,99,-9.440629542378826,292
1900-10-20,118,7.939451656558571,293
1900-10-21,90,-17.67329958398075,294
1900-10-22,93,-14.929076236780109,295
1900-10-23,104,-4.8669239637110895,296
1900-10-24,112,2.4510049621572887,297
1900-10-25,72,-34.1386396671846,298
1900-10-26,109,-0.2932183850433531,299
1900-10-27,79,-27.73545185704977,300
1900-10-28,103,-5.781665079444637,301
1900-10-29,92,-15.843817352513657,302
1900-10-30,107,-2.1227006165104476,303
1900-10-31,90,-17.67329958398075,304
1900-11-01,132,20.745827276828233,305
1900-11-02,96,-12.184852889579467,306
1900-11-03,115,5.19522830935793,307
1900-11-04,113,3.3657460778908357,308
1900-11-05,92,-15.843817352513657,309
1900-11-06,108,-1.2079595007769002,310
1900-11-07,97,-11.27011177384592,311
1900-11-08,98,-10.355370658112372,312
1900-11-09,85,-22.247005162648488,313
1900-11-10,121,10.683675003759213,314
1900-11-11,126,15.257380582426949,315
1900-11-12,85,-22.247005162648488,316
1900-11-13,102,-6.696406195178184,317
1900-11-14,85,-22.247005162648488,318
1900-11-15,114,4.280487193624383,319
1900-11-16,78,-28.650192972783316,320
1900-11-17,90,-17.67329958398075,321
1900-11-18,98,-10.355370658112372,322
1900-11-19,102,-6.696406195178184,323
1900-11-20,104,-4.8669239637110895,324
1900-11-21,99,-9.440629542378826,325
1900-11-22,114,4.280487193624383,326
1900-11-23,109,-0.2932183850433531,327
1900-11-24,101,-7.611147310911731,328
1900-11-25,111,1.5362638464237415,329
1900-11-26,113,3.3657460778908357,330
1900-11-27,80,-26.820710741316223,331
1900-11-28,120,9.768933888025666,332
1900-11-29,120,9.768933888025666,333
1900-11-30,96,-12.184852889579467,334
1900-12-01,125,14.342639466693402,335
1900-12-02,116,6.109969425091477,336
1900-12-03,110,0.6215227306901941,337
1900-12-04,98,-10.355370658112372,338
1900-12-05,105,-3.952182847977542,339
1900-12-06,116,6.109969425091477,340
1900-12-07,77,-29.564934088516864,341
1900-12-08,100,-8.525888426645277,342
1900-12-09,130,18.916345045361137,343
1900-12-10,106,-3.0374417322439946,344
1900-12-11,93,-14.929076236780109,345
1900-12-12,115,5.19522830935793,346
1900-12-13,75,-31.394416319983957,347
1900-12-14,95,-13.099594005313014,348
1900-12-15,125,14.342639466693402,349
1900-12-16,104,-4.8669239637110895,350
1900-12-17,94,-14.014335121046562,351
1900-12-18,100,-8.525888426645277,352
1900-12-19,108,-1.2079595007769002,353
1900-12-20,116,6.109969425091477,354
1900-12-21,92,-15.843817352513657,355
1900-12-22,102,-6.696406195178184,356
1900-12-23,93,-14.929076236780109,357
1900-12-24,111,1.5362638464237415,358
1900-12-25,114,4.280487193624383,359
1900-12-26,96,-12.184852889579467,360
1900-12-27,92,-15.843817352513657,361
1900-12-28,105,-3.952182847977542,362
1900-12-29,100,-8.525888426645277,363
1900-12-30,86,-21.33226404691494,364
1900-12-31,99,-9.440629542378826,365
